RA,Dec
36.92183303833008,-5.210484027862549
36.436729431152344,-5.209542751312256
36.321895599365234,-5.2230072021484375
36.75261688232422,-5.224663257598877
36.725101470947266,-5.202491760253906
36.971961975097656,-5.208244800567627
36.313175201416016,-5.211039066314697
36.57327651977539,-5.206664085388184
36.97498321533203,-5.212082386016846
36.02578353881836,-5.185901641845703
36.09410095214844,-5.195224761962891
37.12430953979492,-5.183645248413086
37.028602600097656,-5.200201034545898
36.742183685302734,-5.2407941818237305
36.42977523803711,-5.229346752166748
36.65102767944336,-5.229237079620361
37.091007232666016,-5.228848934173584
36.42497634887695,-5.188409805297852
36.75558853149414,-5.206177234649658
36.14854431152344,-5.189464092254639
37.035491943359375,-5.197678089141846
36.61553192138672,-5.322432518005371
37.050655364990234,-5.206345558166504
36.389244079589844,-5.2062764167785645
36.845008850097656,-5.205821514129639
36.409912109375,-5.205710411071777
36.81031799316406,-5.214035511016846
36.427940368652344,-5.205618858337402
37.09104919433594,-5.193930149078369
36.44336700439453,-5.200201034545898
36.992801666259766,-5.174820899963379
36.116233825683594,-5.189069747924805
36.07667541503906,-5.176389694213867
36.81465148925781,-5.185743808746338
37.09853744506836,-5.185521602630615
36.34822082519531,-5.194134712219238
36.955963134765625,-5.227124214172363
36.478641510009766,-5.231767177581787
36.34906005859375,-5.204926013946533
36.44984817504883,-5.3264055252075195
36.41140365600586,-5.179121494293213
36.378639221191406,-5.180629730224609
36.279754638671875,-5.172538757324219
37.090065002441406,-5.165493488311768
37.0527458190918,-5.316598892211914
36.827239990234375,-5.184108257293701
36.83531188964844,-5.173770427703857
36.68335723876953,-5.192630290985107
36.20109176635742,-5.192350387573242
36.01138687133789,-5.191895961761475
36.24736785888672,-5.157727241516113
36.46202850341797,-5.165407657623291
36.93280029296875,-5.164625644683838
36.51575469970703,-5.159452438354492
36.136756896972656,-5.159338474273682
35.98053741455078,-5.150112152099609
35.99290466308594,-5.16258430480957
36.297149658203125,-5.161386966705322
36.222347259521484,-5.171716213226318
36.873558044433594,-5.171177864074707
36.71843338012695,-5.164250373840332
36.83658218383789,-5.325753211975098
37.032039642333984,-5.156347274780273
36.33356857299805,-5.152238368988037
36.47944641113281,-5.145753383636475
36.828102111816406,-5.150585651397705
36.27179718017578,-5.145547389984131
36.97859573364258,-5.180004119873047
36.872962951660156,-5.19152307510376
36.16109085083008,-5.196293354034424
36.181922912597656,-5.151276111602783
36.27720642089844,-5.1490325927734375
36.76656723022461,-5.157937049865723
36.13720703125,-5.1439008712768555
36.47150421142578,-5.169334888458252
36.21829605102539,-5.156210899353027
36.667301177978516,-5.172542095184326
36.34251403808594,-5.137573719024658
36.78290557861328,-5.138365268707275
37.096534729003906,-5.136395454406738
36.46810531616211,-5.319118499755859
36.25056457519531,-5.142032146453857
36.12083053588867,-5.141820907592773
36.29049301147461,-5.1636834144592285
36.307456970214844,-5.151507377624512
36.121612548828125,-5.1525139808654785
36.59596633911133,-5.145812511444092
36.127357482910156,-5.144965648651123
36.903079986572266,-5.138956546783447
36.50414276123047,-5.1161789894104
36.673946380615234,-5.136013507843018
36.19234848022461,-5.14102840423584
36.874267578125,-5.135293483734131
36.63841247558594,-5.113637924194336
36.53062438964844,-5.324378967285156
36.9870491027832,-5.1263933181762695
36.08884048461914,-5.309261322021484
36.148006439208984,-5.326703071594238
36.75965881347656,-5.32366418838501
36.72578048706055,-5.323770046234131
36.518924713134766,-5.1277313232421875
