oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,stellar,class_name,classifier_name,classfier_version,probability,ranking,matched_oids
170028532667252850,1,1,186.46003068407867,7.584767297857741,5.4488390073050454e-08,5.7942092076538354e-08,61090.247937232445,61098.24137255241,7.993435319964192,469,505,0,,AGN,stamp_classifier_rubin,,0.97754204,1,"ZTF18aatuwys,ZTF18acvgvjj"
170028526498480272,1,1,187.3489064285092,7.899778935628166,2.836695226007478e-07,2.994096300522988e-07,61090.247937232445,61098.24137255241,7.993435319964192,517,492,0,,AGN,stamp_classifier_rubin,,0.97745854,1,ZTF23aaowpre
170050533266555213,1,1,188.85448021293615,9.298208833737496,2.9253493686981133e-05,2.9988658871983233e-05,61095.290786506,61095.328047180985,0.0372606749806436,2,1,0,,AGN,stamp_classifier_rubin,,0.97743577,1,ZTF24aajcuok
170028526491140224,1,1,186.50759286393836,7.138118077182969,4.3670467607636114e-07,4.807151067822086e-07,61090.247937232445,61098.24137255241,7.993435319964192,500,588,0,,AGN,stamp_classifier_rubin,,0.9772778,1,ZTF21abcswfp
170032910527627287,1,1,148.70889329324052,2.5103111450561495,1.4455545169766992e-05,1.4448785805143416e-05,61091.20739428083,61091.20739428083,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.8633961,1,ZTF20aajrlmz
170028500605468812,1,1,150.37365088690945,2.1120030292126786,3.32509533724951e-07,3.455377041661046e-07,61090.1077735384,61109.14520318322,19.037429644820804,919,1013,0,,AGN,stamp_classifier_rubin_beta,,0.8633655,1,ZTF24absiblc
170032911789588517,1,1,150.26165729246992,3.290722251729242,1.651085740826854e-07,1.605524533163977e-07,61091.211591491025,61095.10982836946,3.898236878434546,2,1,0,,AGN,stamp_classifier_rubin_beta,,0.86232084,1,ZTF18acrmmfe
170028538466926637,1,1,186.91529445896188,9.01965353185879,5.174889274814791e-07,5.112913547018259e-07,61090.337069737274,61095.32848646294,4.991416725664749,6,7,0,,AGN,stamp_classifier_rubin_beta,,0.8617767,1,ZTF18aarltmc
170050533220417624,1,1,187.39102897301376,9.477232489907475,3.783318334320151e-06,3.760880874060349e-06,61095.290786506,61109.28132530259,13.990538796591864,2,1,0,,AGN,stamp_classifier_rubin_beta,,0.8608636,1,ZTF23aakoygl
170028526488518713,1,1,186.38738769755943,6.504914189554484,3.085118182285515e-07,3.21263460826801e-07,61090.247937232445,61098.24137255241,7.993435319964192,471,550,0,,AGN,stamp_classifier_rubin_beta,,0.86079323,1,ZTF20abbkvbp
170050533220417679,1,1,187.32451431936693,9.505169399631272,9.388974831381349e-06,9.451598998566624e-06,61095.290786506,61095.290786506,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.8601755,1,ZTF23aaayzqn
